	Unnamed: 0	SentenceId	Clause Text	Codes	ExperimentValues	ExternalRef	Paragraph	Headings	FloatingBox?	Discourse Type	Offset_Begin	Offset_End	Discourse Label	fig_spans
0	0	s1	"Three v-SNAREs and Two t-SNAREs , Present in a Pentameric cis-SNARE Complex on Isolated Vacuoles , Are Essential for Homotypic Fusion"	[]			article-title0		FALSE	-	127	258	implication	
1	1	s2	"Vacuole SNAREs , including the t-SNAREs Vam3p and Vam7p and the v-SNARE Nyv1p , are found in a multisubunit "" cis "" complex on isolated organelles ."	[]			p6		FALSE	-	1010	1153	fact	
2	2	s3	We now identify the v-SNAREs Vti1p and Ykt6p by mass spectrometry	[]			p6		FALSE	-	1154	1219	method	
3	3	s3	as additional components of the immunoisolated vacuolar SNARE complex .	[]			p6		FALSE	-	1220	1290	method	
4	4	s4	"Immunodepletion of detergent extracts with anti-Vti1p removes all the Ykt6p that is in a complex with Vam3p , immunodepletion with anti-Ykt6p removes all the Vti1p that is complexed with Vam3p , and"	[]			p6		FALSE	-	1291	1487	result	
5	5	s4	"immunodepletion with anti-Nyv1p removes all the Ykt6p in complex with other SNAREs , demonstrating that they are all together in the same cis multi-SNARE complex ."	[]			p6		FALSE	-	1488	1649	implication	
6	6	s5	"After priming , which disassembles the cis-SNARE complex , antibodies to any of the five SNARE proteins still inhibit the fusion assay until the docking stage is completed ,"	[]			p6		FALSE	-	1650	1820	result	
7	7	s5	suggesting that each SNARE plays a role in docking .	[]			p6		FALSE	-	1821	1872	implication	
8	8	s6	"Furthermore , vti1 temperature-sensitive alleles cause a synthetic fusion-defective phenotype in our reaction ."	[]			p6		FALSE	-	1873	1982	result	
9	9	s7	Our data show	[]			p6		FALSE	-	1983	1996	result	
10	10	s7	"that vacuole-vacuole fusion requires a cis-SNARE complex of five SNAREs , the t-SNAREs Vam3p and Vam7p and the v-SNAREs Nyv1p , Vti1p , and Ykt6p ."	[]			p6		FALSE	-	1997	2140	result	
11	11	s8	The targeting of vesicles to their destination in the secretory pathway depends on several layers of specificity .	[]			p7		FALSE	-	2194	2307	fact	
12	12	s9	The GTPases of the Rab/Ypt family are critical for virtually every vesicle trafficking step ( exLink ) .	[exLink]			p7		FALSE	-	2308	2426	fact	
13	13	s10	"In addition , membrane proteins with cytosolic coiled-coil domains , termed SNAREs , are found on vesicles ( v-SNAREs ) and organelles ( t-SNAREs ) ."	[]			p7		FALSE	-	2427	2568	method	
14	14	s11	It has been proposed	[]			p7		FALSE	-	2569	2589	hypothesis	
15	15	s11	that SNAREs act in a lock-key mechanism to specify the docking of vesicles with their target membrane and even to catalyze their fusion ( exLink ; exLink ; exLink ; exLink ; exLink ; exLink ) .	[exLink]			p7		FALSE	-	2590	2862	hypothesis	
16	16	s12	"SNAREs are found in multisubunit complexes together with two soluble proteins , the ATPase NSF and its cofactor alpha-SNAP , on organelles and on vesicle membranes ( exLink ; exLink ; exLink ; exLink ; exLink ) ."	[exLink]			p8		FALSE	-	2863	3150	fact	
17	17	s13	Studies of yeast vacuole fusion have shown	[]			p8		FALSE	-	3151	3193	result	
18	18	s13	"that ATP hydrolysis by yeast NSF ( Sec18p ) causes release of yeast alpha-SNAP ( Sec17p ) from the membrane ( exLink ) and disassembly of the SNARE complex ( exLink ) , enabling the individual SNAREs to participate in the downstream docking reaction ( exLink ; exLink ) ."	[exLink]			p8		FALSE	-	3194	3509	result	
19	19	s14	Docking of vesicles with their target membrane also involves	[]			p8		FALSE	-	3510	3570	fact	
20	20	s14	tethering by velcro factors and Rab proteins ( exLink ) .	[exLink]			p8		FALSE	-	3571	3632	fact	
21	21	s15	"In yeast , for example , Uso1p and the GTPase Ypt1p tether ER-derived vesicles to the Golgi apparatus before the action of SNAREs ( exLink ) ."	[exLink]			p8		FALSE	-	3633	3780	fact	
22	22	s16	"Likewise , the mammalian Uso1p homologue p115 interacts with GM130"	[]			p8		FALSE	-	3781	3846	fact	
23	23	s16	to promote the fusion of Golgi vesicles after mitosis ( exLink ) .	[exLink]			p8		FALSE	-	3847	3921	fact	
24	24	s17	"Other possible tethering factors include rabaptin 5 ( exLink ) , Vac1p ( exLink ) , and EEA1 ( exLink ; exLink ; exLink ) ."	[exLink]			p8		FALSE	-	3922	4108	method	
25	25	s18	Recent studies on the homotypic fusion of yeast vacuoles suggest	[]			p8		FALSE	-	4109	4173	implication	
26	26	s18	that the docking reaction can be subdivided into a reversible tethering reaction mediated by the GTPase Ypt7p and a subsequent pairing of the SNAREs in trans ( exLink ) .	[exLink]			p8		FALSE	-	4174	4358	implication	
27	27	s19	The mechanism of the final fusion step is still unclear .	[]			p8		FALSE	-	4359	4415	problem	
28	28	s20	SNAREs have been implicated as fusion catalysts based on their ability	[]			p8		FALSE	-	4416	4486	hypothesis	
29	29	s20	to mediate lipid exchange in a reconstituted fusion assay ( exLink ) .	[exLink]			p8		FALSE	-	4487	4566	hypothesis	
30	30	s21	"However , trans-SNARE pairs can be disassembled by Sec18p without"	[]			p8		FALSE	-	4567	4631	result	
31	31	s21	"influencing the fusion rate , suggesting that SNARE pairs may not be the proximal fusion catalysts ( exLink ) ."	[exLink]			p8		FALSE	-	4632	4756	result	
32	32	s22	"Similarly , the fusion of cortical granules in sea urchin eggs can be preceded by a Ca2+-dependent disassembly of the SNARE complex without"	[]			p8		FALSE	-	4757	4895	result	
33	33	s22	affecting the fusion rate ( exLink ; exLink ) .	[exLink]			p8		FALSE	-	4896	4967	result	
34	34	s23	"Furthermore , yeast vacuoles require Ca2+ and calmodulin and a phosphatase for the fusion step per se ( exLink ; exLink ) ,"	[exLink]			p8		FALSE	-	4968	5116	result	
35	35	s23	suggesting that these proteins act after the SNAREs .	[]			p8		FALSE	-	5117	5169	implication	
36	36	s24	We have identified a cis-SNARE complex on the vacuole membrane	[]			p9		FALSE	-	5170	5232	result	
37	37	s24	"which contains the t-SNAREs Vam3p and Vam7p and the v-SNARE Nyv1p as well as Sec17p ( alpha-SNAP ) , Sec18p ( NSF ) , and LMA1 ( exLink ; exLink ; exLink ) ."	[exLink]			p9		FALSE	-	5233	5426	result	
38	38	s25	We now show	[]			p9		FALSE	-	5427	5438	result	
39	39	s25	"that two additional SNAREs , Vti1p and Ykt6p , are physically and functionally part of this complex ."	[]			p9		FALSE	-	5439	5537	result	
40	40	s26	Vti1p has been previously characterized as an essential v-SNARE required for trafficking between the Golgi apparatus and the vacuole ( exLink ; exLink ) .	[exLink]			p9		FALSE	-	5538	5729	result	
41	41	s27	Ykt6p was initially identified in a complex with the Golgi t-SNARE Sed5p ( exLink ) .	[exLink]			p9		FALSE	-	5730	5826	result	
42	42	s28	"It does not have a transmembrane domain , but is prenylated and may partition between the cytosol and membranes ( exLink ) ."	[exLink]			p9		FALSE	-	5827	5959	fact	
43	43	s29	"Both proteins are essential for viability , interact genetically , and were suggested"	[]			p9		FALSE	-	5960	6043	fact	
44	44	s29	to be involved in retrograde trafficking to the cis-Golgi membrane ( exLink ; exLink ) .	[exLink]			p9		FALSE	-	6044	6169	hypothesis	
45	45	s30	Our data show	[]			p9		FALSE	-	6170	6183	result	
46	46	s30	that these proteins are components of a heteropentameric SNARE complex and that each of the subunits has a vital role in homotypic vacuole fusion .	[]			p9		FALSE	-	6184	6330	result	
47	47	s31	Materials and Methods	[header-0]			title10	Materials and Methods	FALSE	-	6331	6352	none	
48	48	s32	Yeast Strains	[header-1]			title11	Materials and Methods	FALSE	-	6353	6366	none	
49	49	s33	Temperature-sensitive ( ts	[]			p12	Materials and Methods	FALSE	-	6367	6392	result	
50	50	s33	1 alleles in VTI1 were introduced into yeast strains BJ3505 and DKY6281 by transformation and loop in-loop out of plasmids containing the vti1 ts alleles and a URA3 marker at the VTI1 locus ( exLink ) .	[exLink]			p12	Materials and Methods	FALSE	-	6393	6618	result	
51	51	s34	Ura+ transformants were selected and Ura -	[]			p12	Materials and Methods	FALSE	-	6619	6660	method	
52	52	s34	clones which were generated in a second selection with 5-fluoroorotic acid were tested for loss of the wild-type VTI1 sequences by their ts growth and CPY-secretion phenotypes ( exLink ) .	[exLink]			p12	Materials and Methods	FALSE	-	6661	6872	method	
53	53	s35	Biochemical Methods	[header-1]			title13	Materials and Methods	FALSE	-	6873	6892	none	
54	54	s36	"Reagents were as described by exLink , exLink , and exLink ."	[exLink]			p14	Materials and Methods	FALSE	-	6893	6985	method	
55	55	s37	"SDS-PAGE ,"	[]			p14	Materials and Methods	FALSE	-	6986	6995	method	
56	56	s37	"immunoblotting using ECL ( exLink ) , and purification of IgGs and his6-tagged Sec18p ( exLink ) were as described ."	[exLink]			p14	Materials and Methods	FALSE	-	6996	7133	method	
57	57	s38	Rabbit antibodies were generated against Ni-NTA purified His6-Ykt6 protein and His6-Nyv1p	[]			p14	Materials and Methods	FALSE	-	7134	7223	method	
58	58	s38	that was overproduced in Escherichia coli .	[]			p14	Materials and Methods	FALSE	-	7224	7266	method	
59	59	s39	"For coimmunoprecipitations , vacuoles were sedimented ( 10 min , 8,000 g , 4degreesC ) after any priming reaction with ATP , washed with 500 mul PS buffer ( 10 mM Pipes/KOH , pH 6.8 , 200 mM sorbitol ) , and detergent solubilized in 1 ml of buffer A ( 1 % digitonin , 50 mM NaCl , 20 mM Hepes/KOH , pH 7.4 , 2 mM EDTA , 1x PIC [ exLink ] , 1 mM PMSF , and 10 mug/ml alpha2-macroglobulin ) ."	[exLink]			p14	Materials and Methods	FALSE	-	7267	7647	method	
60	60	s40	"The detergent extract was placed onto a nutator for 10 min at 4degreesC , the insoluble material was removed by centrifugation ( 10 min , 16,000 g ) , and"	[]			p14	Materials and Methods	FALSE	-	7648	7797	method	
61	61	s40	the supernatant was applied to protein A-immobilized IgGs ( exLink ; exLink ) .	[exLink]			p14	Materials and Methods	FALSE	-	7798	7905	method	
62	62	s41	"Incubations , washes , and elution of bound proteins were as described ( exLink ) ."	[exLink]			p14	Materials and Methods	FALSE	-	7906	8001	method	
63	63	s42	Purification of the Vam3p Complex	[header-1]			title15	Materials and Methods	FALSE	-	8002	8035	method	
64	64	s43	His6-Vam3p was immobilized on Aminolink resin ( Pierce ) and used as an affinity matrix to purify antibodies to Vam3p .	[]			p16	Materials and Methods	FALSE	-	8036	8152	method	
65	65	s44	Affinity-purified antibodies ( 200 ng ) and an equal amount of nonimmune rabbit IgGs were covalently linked to 1 ml protein A-Sepharose ( Amersham-Pharmacia ; exLink ) .	[exLink]			p16	Materials and Methods	FALSE	-	8153	8331	method	
66	66	s45	Vacuoles were prepared by a batch purification .	[]			p16	Materials and Methods	FALSE	-	8332	8379	method	
67	67	s46	Cells from 6-liter overnight cultures were lysed with oxalyticase and DEAE dextran	[]			p16	Materials and Methods	FALSE	-	8380	8462	method	
68	68	s46	as described ( exLink ) .	[exLink]			p16	Materials and Methods	FALSE	-	8463	8489	method	
69	69	s47	"After heat shock , cell lysates were chilled on ice , diluted with 15 % Ficoll in PS buffer ( 200 mM sorbitol , 10 mM Pipes/ KOH , pH 6.8 ) to 4 % Ficoll ( final concentration ) , and transferred to 60Ti tubes ( Beckman ) ."	[]			p16	Materials and Methods	FALSE	-	8490	8699	method	
70	70	s48	"Lysates were centrifuged ( 50,000 rpm , 4degreesC , 60 min , 60Ti rotor ) and vacuoles harvested from the top , diluted 20-fold with cold PS buffer , and centrifuged ( JA20 , 10,000 rpm , 10 min , 4degreesC ) ."	[]			p16	Materials and Methods	FALSE	-	8700	8897	method	
71	71	s49	The vacuole pellet was resuspended in PS buffer .	[]			p16	Materials and Methods	FALSE	-	8898	8946	method	
72	72	s50	"For purification of the SNARE complex , 26 mg of vacuoles was lysed in 10 ml of 1.5 % Triton X-100 , PBS ( exLink ) , pH 7.4 , 2 mM EDTA , 1x PIC ( exLink ) , and 1 mM PMSF ( lysis buffer ) ."	[exLink]			p17	Materials and Methods	FALSE	-	8947	9153	method	
73	73	s51	"After 30 min at 4degreesC on a nutator , the detergent extract was centrifuged for 30 min in a 60Ti rotor at 4degreesC , 35,000 rpm ."	[]			p17	Materials and Methods	FALSE	-	9154	9284	method	
74	74	s52	The supernatant was collected and incubated on a nutator for 1.5 h at 4degreesC with 3 ml of a protein A resin bearing nonimmune IgGs .	[]			p17	Materials and Methods	FALSE	-	9285	9419	method	
75	75	s53	"The flow through was collected , reapplied to fresh resin , and incubated as before ."	[]			p17	Materials and Methods	FALSE	-	9420	9502	method	
76	76	s54	Three such sequential preadsorption steps were performed .	[]			p17	Materials and Methods	FALSE	-	9503	9560	method	
77	77	s55	The sample was then halved .	[]			p17	Materials and Methods	FALSE	-	9561	9588	method	
78	78	s56	"One half was applied to a control resin , the other to the immobilized affinity-purified antibodies to Vam3p ."	[]			p17	Materials and Methods	FALSE	-	9589	9697	method	
79	79	s57	The detergent extracts were incubated with the resins for 18 h on a nutator at 4degreesC .	[]			p17	Materials and Methods	FALSE	-	9698	9787	method	
80	80	s58	The flow throughs were collected and	[]			p17	Materials and Methods	FALSE	-	9788	9824	method	
81	81	s58	"the resins were washed with 50 ml of 150 mM , 350 mM , and 500 mM NaCl in lysis buffer ."	[]			p17	Materials and Methods	FALSE	-	9825	9910	method	
82	82	s59	Bound proteins were eluted with 4 ml 0.1 M glycine/HCl	[]			p17	Materials and Methods	FALSE	-	9911	9965	method	
83	83	s59	"pH 2.6 , 0.025 % Triton X-100 , precipitated by TCA , washed with 1 ml of ice-cold acetone , and dried at 56degreesC for 5 min ."	[]			p17	Materials and Methods	FALSE	-	9966	10089	method	
84	84	s60	Aliquots were analyzed by SDS-PAGE and Coomassie blue-stained or transferred	[]			p17	Materials and Methods	FALSE	-	10090	10166	method	
85	85	s60	to nitrocellulose for immunoblotting .	[]			p17	Materials and Methods	FALSE	-	10167	10204	method	
86	86	s61	Proteins were identified by	[]			p18	Materials and Methods	FALSE	-	10205	10232	method	
87	87	s61	comparing their tryptic peptide mass maps to the Saccharomyces cerevisiae sequence database ( exLink ) .	[exLink]			p18	Materials and Methods	FALSE	-	10233	10347	method	
88	88	s62	"Protein bands were excised from the gel , rinsed , and"	[]			p18	Materials and Methods	FALSE	-	10348	10400	method	
89	89	s62	the protein samples were digested with trypsin in the gel matrix ( exLink ) .	[exLink]			p18	Materials and Methods	FALSE	-	10401	10492	method	
90	90	s63	Extracted peptide mixtures were analyzed by matrix-assisted laser desorption/ionization ( MALDI ) time-of-flight mass spectrometry ( REFLEX ; Bruker Daltonics ) .	[]			p18	Materials and Methods	FALSE	-	10493	10649	method	
91	91	s64	The peptide mass maps were used	[]			p18	Materials and Methods	FALSE	-	10650	10681	method	
92	92	s64	"to query a comprehensive sequence database for unambiguous protein identification ( PeptideSearch software , provided by M. Mann and P. Mortensen , EMBL ) ( exLink , exLink ) ."	[exLink]			p18	Materials and Methods	FALSE	-	10682	10861	method	
93	93	s65	Vacuole Fusion	[header-1]			title19	Materials and Methods	FALSE	-	10862	10876	none	
94	94	s66	Vacuole fusion is measured by a biochemical complementation assay ( exLink ; exLink ) .	[exLink]			p20	Materials and Methods	FALSE	-	10877	10985	method	
95	95	s67	Vacuoles from DKY6821 have normal proteases but lack the membrane protein alkaline phosphatase .	[]			p20	Materials and Methods	FALSE	-	10986	11081	method	
96	96	s68	Vacuoles from BJ3505 accumulate	[]			p20	Materials and Methods	FALSE	-	11082	11113	method	
97	97	s68	"alkaline phosphatase in the unprocessed and catalytically inactive "" pro "" form due to the deletion of the gene encoding the protease Pep4p ."	[]			p20	Materials and Methods	FALSE	-	11114	11252	method	
98	98	s69	"Incubation of a mixture of these vacuoles in reaction buffer at 27degreesC in the presence of cytosol and ATP leads to fusion , content mixing , and processing of pro-alkaline phosphatase by Pep4p ."	[]			p20	Materials and Methods	FALSE	-	11253	11448	method	
99	99	s70	The active alkaline phosphatase is measured by a colorimetric assay at the end of the fusion reaction .	[]			p20	Materials and Methods	FALSE	-	11449	11551	method	
100	100	s71	Vacuoles ( exLink ) were used immediately after isolation .	[exLink]			p21	Materials and Methods	FALSE	-	11552	11612	method	
101	101	s72	"The standard fusion reaction ( 30 mul ) contained 3 mug of each vacuole type ( BJ3505 and DKY6281 ) in reaction buffer ( 10 mM Pipes/KOH , pH 6.8 , 200 mM sorbitol , 150 mM KCl , 0.5 mM MgCl2 , 0.5 mM MnCl2 ) , 0.5 mM ATP , 3 mug/ml cytosol , 3.5 U/ml creatine kinase , 20 mM creatine phosphate , and a protease inhibitor cocktail ( PIC ; exLink )"	[exLink]			p21	Materials and Methods	FALSE	-	11613	11955	method	
